CFOP;Tipo;Categoria;Descrição Resumida do CFOP;Aplicação;Início da Vigência;Fim da Vigência;Válido para NFe (indNFe);Válido para Serviços de Comunicação (indComunica);Válido para Retenção de ICMS de Transporte (indTransp);Válido para Devolução (indDevol);Válido para Retorno de Mercadorias (indRetor);Válido para Anulação de Valor (indAnula);Válido para Remessa de Mercadorias (indRemes);Válido para Operações com Combustível (indComb);Válido para NFCe;Válido para CTe;Válido para CTe OS
2.205;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.205 - Anulação de valor relativo à prestação de serviço de comunicação;Anulação correspondente a valor faturado indevidamente, decorrente de prestação de serviço de comunicação.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não
2.206;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.206 - Anulação de valor relativo à prestação de serviço de transporte;Anulação correspondente a valor faturado indevidamente, decorrente de prestação de serviço de transporte.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;1-Sim;1-Sim
2.207;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.207 - Anulação de valor relativo à venda de energia elétrica;Anulação correspondente a valor faturado indevidamente, decorrente de venda de energia elétrica.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não
2.208;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.208 - Devolução de produção do estabelecimento, remetida em transferência.;Devolução de produto industrializado ou produzido pelo estabelecimento e transferido para outro estabelecimento da mesma empresa.,(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005);01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.209;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.209 - Devolução de mercadoria adquirida ou recebida de terceiros e remetida em transferência;Devolução de mercadoria adquirida ou recebida de terceiros, transferidas para outros estabelecimentos da mesma empresa.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.212;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.212 - Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped);Classificam-se neste código as devoluções de vendas de produtos industrializados e insumos importados pelo estabelecimento. (AJUSTE SINIEF 5, DE 7 DE MARÇO DE 2016) efeitos a partir de 1º de abril de 2016.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.213;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.213 - Devolução de remessa de produção do estabelecimento com previsão de posterior ajuste ou fixação de preço, em ato cooperativo;Classificam-se neste código as devoluções de remessa que tenham sido classificadas no código “6.131 - Remessa de produção do estabelecimento, com previsão de posterior ajuste ou fixação de preço de ato cooperativo.”, (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.214;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.200 - Devoluções De Vendas De Produção Do Estabelecimento Ou De Terceiros Ou Anulações De Valores;2.214 - Devolução de fixação de preço de produção do estabelecimento produtor, de ato cooperativo;Classificam-se neste código as devoluções de fixação de preço de produção do estabelecimento produtor cuja saída tenha sido classificada no código “6.132 - Fixação de preço de produção do estabelecimento, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço de ato cooperativo.”, (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1º de janeiro de 2018.;01/01/2018;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.251;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.251 - Compra de energia elétrica p/ distribuição ou comercialização;Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição com seus cooperados.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.252;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.252 - Compra de energia elétrica por estabelecimento industrial;Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.253;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.253 - Compra de energia elétrica por estabelecimento comercial;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.254;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.254 - Compra de energia elétrica por estabelecimento prestador de serviço de transporte;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.255;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.255 - Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.256;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.256 - Compra de energia elétrica por estabelecimento de produtor rural;Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.257;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.250 - Compras De Energia Elétrica;2.257 - Compra de energia elétrica p/ consumo por demanda contratada;Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.301;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.300 - Aquisições De Serviços De Comunicação;2.301 - Aquisição de serviço de comunicação p/ execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.302;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.300 - Aquisições De Serviços De Comunicação;2.302 - Aquisição de serviço de comunicação por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.303;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.300 - Aquisições De Serviços De Comunicação;2.303 - Aquisição de serviço de comunicação por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.304;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.300 - Aquisições De Serviços De Comunicação;2.304 - Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;Classificam-se neste código as aquisições de serviços de comunicação utilizado por estabelecimento prestador de serviço de transporte.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.305;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.300 - Aquisições De Serviços De Comunicação;2.305 - Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.306;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.300 - Aquisições De Serviços De Comunicação;2.306 - Aquisição de serviço de comunicação por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.351;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.350 - Aquisições De Serviços De Transporte;2.351 - Aquisição de serviço de transporte p/ execução de serviço da mesma natureza;Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.352;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.350 - Aquisições De Serviços De Transporte;2.352 - Aquisição de serviço de transporte por estabelecimento industrial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.353;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.350 - Aquisições De Serviços De Transporte;2.353 - Aquisição de serviço de transporte por estabelecimento comercial;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.354;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.350 - Aquisições De Serviços De Transporte;2.354 - Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.355;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.350 - Aquisições De Serviços De Transporte;2.355 - Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.356;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.350 - Aquisições De Serviços De Transporte;2.356 - Aquisição de serviço de transporte por estabelecimento de produtor rural;Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.401;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.401 - Compra p/ industrialização ou produção rural de mercadoria sujeita a ST;Compra de mercadoria, sujeita ao regime de substituição tributária, a ser utilizada em processo de industrialização ou produção rural, bem como compra, por estabelecimento industrial ou produtor rural de cooperativa, de mercadoria sujeita ao mencionado regime.,(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005);01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.403;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.403 - Compra p/ comercialização em operação com mercadoria sujeita a ST;Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras de mercadorias sujeitas ao regime de substituição tributária em estabelecimento comercial de cooperativa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.406;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.406 - Compra de bem p/ o ativo imobilizado cuja mercadoria está sujeita a ST;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.407;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.407 - Compra de mercadoria p/ uso ou consumo cuja mercadoria está sujeita a ST;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.408;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.408 - Transferência p/ industrialização ou produção rural de mercadoria sujeita a ST;Entrada de mercadoria, sujeita ao regime de substituição tributária, recebida em transferência de outro estabelecimento da mesma empresa, para ser industrializada ou consumida na produção rural no estabelecimento destinatário.,(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005);01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.409;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.409 - Transferência p/ comercialização em operação com mercadoria sujeita a ST;Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.410;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.410 - Devolução de venda de produção do estabelecimento, quando o produto sujeito a ST;"Devolução de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de produção do estabelecimento quando o produto estiver sujeito ao regime de substituição tributária"".,(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)";01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.411;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.411 - Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita a ST;Devolução de vendas de mercadoria adquirida ou recebida de terceiro, cuja saída tenha sido classificada como “Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária”.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.414;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.414 - Retorno de produção do estabelecimento, remetida p/ venda fora do estabelecimento, quando o produto sujeito a ST;Entrada, em retorno, de produto industrializado ou produzido pelo estabelecimento sujeito ao regime de substituição tributária, remetido para venda fora do estabelecimento, inclusive por meio de veículo, e não comercializado.,(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005);01/01/2006;;1-Sim;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.415;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.400 - Entradas De Mercadorias Sujeitas Ao Regime De Substituição Tributária;2.415 - Retorno de mercadoria adquirida ou recebida de terceiros, remetida p/ venda fora do estabelecimento em operação com mercadoria sujeita a ST;Entrada, em retorno, de mercadoria sujeita ao regime de substituição tributária,adquirida ou recebida de terceiro remetida para venda fora do estabelecimento, inclusive por meio de veículo, e não comercializada.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.501;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.500 - Entradas De Mercadorias Remetidas Para Formação De Lote Ou Com Fim Específico De Exportação E Eventuais Devoluções (Nr Ajuste SINIEF 09/2005);2.501 - Entrada de mercadoria recebida com fim específico de exportação;Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.503;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.500 - Entradas De Mercadorias Remetidas Para Formação De Lote Ou Com Fim Específico De Exportação E Eventuais Devoluções (Nr Ajuste SINIEF 09/2005);2.503 - Entrada decorrente de devolução de produto industrializado pelo estabelecimento, remetido com fim específico de exportação;"Devolução de produto industrializado ou produzido pelo estabelecimento, remetido a ""trading company"", a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cuja saída tenha sido classificada no código ""6.501 – Remessa de produção do estabelecimento com fim específico de exportação"".,(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)";01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.504;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.500 - Entradas De Mercadorias Remetidas Para Formação De Lote Ou Com Fim Específico De Exportação E Eventuais Devoluções (Nr Ajuste SINIEF 09/2005);2.504 - Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros;Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código 6.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.505;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.500 - Entradas De Mercadorias Remetidas Para Formação De Lote Ou Com Fim Específico De Exportação E Eventuais Devoluções (Nr Ajuste SINIEF 09/2005);2.505 - Entrada decorrente de devolução simbólica de mercadoria remetida p/ formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento.;"Devolução simbólica de mercadoria remetida para formação de lote de exportação, cuja saída tenha sido classificada no código ""6.504 – Remessa de mercadoria para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento"". (ACR Ajuste SINIEF 09/2005) (Decreto 28.868/2006),(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)";01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.506;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.500 - Entradas De Mercadorias Remetidas Para Formação De Lote Ou Com Fim Específico De Exportação E Eventuais Devoluções (Nr Ajuste SINIEF 09/2005);2.506 - Entrada decorrente de devolução simbólica de mercadoria, adquirida ou recebida de terceiros, remetida p/ formação de lote de exportação.;"Devolução simbólica de mercadoria remetida para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuada pelo estabelecimento depositário, cuja saída tenha sido classificada no código ""6.505 – Remessa de mercadoria, adquirida ou recebida de terceiros, para formação de lote de exportação"".,(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)";01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.551;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.551 - Compra de bem p/ o ativo imobilizado;Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.552;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.552 - Transferência de bem do ativo imobilizado;Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.553;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.553 - Devolução de venda de bem do ativo imobilizado;Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código 6.551 - Venda de bem do ativo imobilizado.;01/01/2006;;1-Sim;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.554;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.554 - Retorno de bem do ativo imobilizado remetido p/ uso fora do estabelecimento;Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código 6.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.555;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.555 - Entrada de bem do ativo imobilizado de terceiro, remetido p/ uso no estabelecimento;Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.556;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.556 - Compra de material p/ uso ou consumo;Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.557;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.550 - Operações Com Bens De Ativo Imobilizado E Materiais Para Uso Ou Consumo;2.557 - Transferência de material p/ uso ou consumo;Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.603;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.600 - Créditos E Ressarcimentos De ICMS;2.603 - Ressarcimento de ICMS retido por substituição tributária;Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, nas hipóteses previstas na legislação aplicável.;01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não
2.651;2.000 - Entrada e/ou Aquisições de Serviços de Outros Estados;2.650 - Entradas De Combustíveis, Derivados Ou Não De Petróleo, E Lubrificantes (Acr Ajuste SINIEF 9/2003);2.651 - Compra de combustível ou lubrificante p/ industrialização subseqüente;Compra de combustível ou lubrificante a ser utilizados em processo de industrialização do próprio produto. (a partir 01.01.2004 - Decreto Nº 26.174 de 26/11/2003);01/01/2006;;1-Sim;0-Não;0-Não;0-Não;0-Não;0-Não;0-Não;2-Sim, com transportador obrigatório;0-Não;0-Não;0-Não
